,STATE,INST,DISCRIMINATION_TYPE,INVEST_START_DATES
0,IN,DEPAUW UNIVERSITY,Disability - Academic Adjustments,10/18/2024        
1,IN,DEPAUW UNIVERSITY,Disability - Others,10/18/2024        
2,IN,BALL STATE UNIVERSITY,Disability - FAPE,10/16/2024        
3,NC,WARREN WILSON COLLEGE,Title IX - Single Sex Scholarships,10/16/2024        
4,NH,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,Disability - Accessibility,10/17/2024        
5,NJ,RUTGERS UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,10/18/2024        
6,NY,COLUMBIA UNIVERSITY,Title VI - Denial of Benefits,10/18/2024        
7,NY,SUFFOLK COUNTY COMMUNITY COLLEGE,Title VI - Others,10/15/2024        
8,NY,SUFFOLK COUNTY COMMUNITY COLLEGE,Title VI - Retaliation,10/15/2024        
9,SC,ERSKINE COLLEGE,Title IX - Sexual Harassment,10/17/2024        
10,WV,WEST VIRGINIA UNIVERSITY SCHOOL OF MEDICINE,Disability - Denial of Benefits,10/16/2024        
