,STATE,INST,DISCRIMINATION_TYPE,INVEST_START_DATES
0,AZ,GRAND CANYON UNIVERSITY,Disability - Academic Adjustments,11/12/2024        
1,FL,SAINT LEO UNIVERSITY,Title VI - Retaliation,11/12/2024        
2,FL,SAINT LEO UNIVERSITY,Title IX - Denial of Benefits,11/12/2024        
3,FL,SAINT LEO UNIVERSITY,Disability - Academic Adjustments,11/12/2024        
4,FL,SAINT LEO UNIVERSITY,Title VI - Denial of Benefits,11/12/2024        
5,NC,PIEDMONT COMMUNITY COLLEGE,Title IX - Single Sex Campus Programs,11/14/2024        
6,NC,PIEDMONT COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,11/14/2024        
7,NC,WESTERN CAROLINA UNIVERSITY,Disability - Accessibility,11/13/2024        
8,OH,CASE WESTERN RESERVE UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,11/12/2024        
9,OH,COLUMBUS STATE COMMUNITY COLLEGE,Title IX - Retaliation,11/14/2024        
10,PA,CARNEGIE MELLON UNIVERSITY,Disability - Others,11/14/2024        
11,PA,CARNEGIE MELLON UNIVERSITY,Title IX - Retaliation,11/14/2024        
12,UT,WESTERN GOVERNORS UNIVERSITY,Disability - Admissions and Recruitment,11/13/2024        
13,VA,GEORGE MASON UNIVERSITY,Age - Discrimination Prohibited,11/13/2024        
