,STATE,INST,DISCRIMINATION_TYPE,INVEST_START_DATES
0,AL,CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND,Title IX - Sexual Harassment,10/24/2024        
1,IN,BALL STATE UNIVERSITY,Disability - Academic Adjustments,10/23/2024        
2,IN,BALL STATE UNIVERSITY,Disability - Denial of Benefits,10/23/2024        
3,IA,MAHARISHI INTERNATIONAL UNIVERSITY,Title IX - Retaliation,10/24/2024        
4,IA,MAHARISHI INTERNATIONAL UNIVERSITY,Title IX - Sexual Harassment,10/24/2024        
5,TN,VANDERBILT UNIVERSITY,Title VI - National Origin Discrimination Involving Religion,10/24/2024        
6,TN,VANDERBILT UNIVERSITY,Title IX - Sexual Harassment,10/22/2024        
