,STATE,INST,DISCRIMINATION_TYPE,INVEST_START_DATES
0,TX,COLLIN COLLEGE - FRISCO CAMPUS - PRESTON RIDGE,Disability - Retaliation,10/11/2024        
1,WI,UNIVERSITY OF WISCONSIN-OSHKOSH,Title IX - Sexual Violence,10/11/2024        
